STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,COUNTY,StateAbbr,StateDesc,Location,E_TOTPOP,M_TOTPOP,E_DAYPOP,SPL_EJI,RPL_EJI,SPL_SER,RPL_SER,EPL_OZONE,EPL_PM,EPL_DSLPM,EPL_TOTCR,SPL_EBM_THEME1,RPL_EBM_DOM1,EPL_NPL,EPL_TRI,EPL_TSD,EPL_RMP,EPL_COAL,EPL_LEAD,SPL_EBM_THEME2,RPL_EBM_DOM2,EPL_PARK,EPL_HOUAGE,EPL_WLKIND,SPL_EBM_THEME3,RPL_EBM_DOM3,EPL_RAIL,EPL_ROAD,EPL_AIRPRT,SPL_EBM_THEME4,RPL_EBM_DOM4,EPL_IMPWTR,SPL_EBM_THEME5,RPL_EBM_DOM5,SPL_EBM,RPL_EBM,EPL_MINRTY,SPL_SVM_DOM1,RPL_SVM_DOM1,EPL_POV200,EPL_NOHSDP,EPL_UNEMP,EPL_RENTER,EPL_HOUBDN,EPL_UNINSUR,EPL_NOINT,SPL_SVM_DOM2,RPL_SVM_DOM2,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_LIMENG,SPL_SVM_DOM3,RPL_SVM_DOM3,EPL_MOBILE,EPL_GROUPQ,SPL_SVM_DOM4,RPL_SVM_DOM4,SPL_SVM,RPL_SVM,F_BPHIGH,F_ASTHMA,F_CANCER,F_MHLTH,F_DIABETES,F_HVM,RPL_HVM,E_OZONE,E_PM,E_DSLPM,E_TOTCR,E_NPL,E_TRI,E_TSD,E_RMP,E_COAL,E_LEAD,E_PARK,E_HOUAGE,E_WLKIND,E_RAIL,E_ROAD,E_AIRPRT,E_IMPWTR,EP_MINRTY,EP_POV200,EP_NOHSDP,EP_UNEMP,EP_RENTER,EP_HOUBDN,EP_UNINSUR,EP_NOINT,EP_AGE65,EP_AGE17,EP_DISABL,EP_LIMENG,EP_MOBILE,EP_GROUPQ,EP_BPHIGH,EP_ASTHMA,EP_CANCER,EP_MHLTH,EP_DIABETES,EPL_BPHIGH,EPL_ASTHMA,EPL_CANCER,EPL_DIABETES,EPL_MHLTH
36,1,100,1400000US36001000100,36001000100,1.0,Albany,NY,New York,"Census Tract 1, Albany County, New York",2035.0,241.0,3031.0,2.4208,0.9371,1.6208,0.8942,0.4572,0.2467,0.7709,0.4239,1.8987,0.5117,0.0,0.8577,0.0,0.9811,0.0,0.0,1.8388,0.8226,0.3853,0.5406,0.2262,1.1521,0.155,0.7891,0.7666,0.0,1.5557,0.7805,0.7896,0.7896,0.7896,7.2349,0.7458,0.8811,0.8811,0.8811,0.8525,0.8542,0.8739,0.8991,0.9117,0.4891,0.4976,5.3781,0.8724,0.2887,0.7621,0.7851,0.6377,2.4736,0.8499,0.0,0.6153,0.6153,0.3388,9.3481,0.875,1.0,1.0,0.0,1.0,1.0,4.0,0.8,0.67,7.83,0.66,29.34,0.0,100.0,0.0,100.0,0.0,0.0,100.0,64.86,13.5,100.0,100.0,0.0,94.87,85.09999999999998,53.34,22.9,10.0,27.9,46.625,6.9,16.4,12.1,26.1,17.2,2.6,0.0,0.6,36.8,14.6,5.6,17.6,15.7,0.7569,0.9872,0.2747,0.887,0.837
36,1,200,1400000US36001000200,36001000200,2.0,Albany,NY,New York,"Census Tract 2, Albany County, New York",4793.0,681.0,4806.0,2.4031,0.9329,1.6031,0.8867,0.4572,0.2484,0.793,0.4765,1.9751,0.5426,0.0,0.8577,0.0,0.9686,0.0,0.0,1.8263,0.8145,0.3853,0.6543,0.185,1.2246,0.2024,0.7891,0.7666,0.0,1.5557,0.7805,0.7896,0.7896,0.7896,7.3713,0.7706,0.8971,0.8971,0.8971,0.9247,0.6919,0.8768,0.971,0.9444,0.5416,0.7118,5.6622,0.9146,0.0617,0.7866,0.3818,0.4599,1.69,0.2485,0.0,0.7622,0.7622,0.448,9.0115,0.8325,1.0,1.0,0.0,1.0,1.0,4.0,0.8,0.67,7.84,0.69,30.52,0.0,100.0,0.0,94.79,0.0,0.0,100.0,74.09999999999998,13.96,100.0,100.0,0.0,94.87,87.9,62.1928,15.0,10.1,38.6,50.3389,7.7,23.3,6.6,26.6,10.8,1.1,0.0,1.7,36.9,14.5,4.5,17.2,14.2,0.7613,0.986,0.1118,0.8189,0.8115
36,1,300,1400000US36001000300,36001000300,3.0,Albany,NY,New York,"Census Tract 3, Albany County, New York",6147.0,951.0,14210.0,2.6183,0.9794,1.8183,0.969,0.4572,0.2503,0.7307,0.3994,1.8376,0.4861,0.975,0.829,0.9704,0.916,0.0,0.0,3.6904,0.9926,0.3853,0.7756,0.1573,1.3182,0.2752,0.7891,0.7666,0.0,1.5557,0.7805,0.7744,0.7744,0.7744,9.1763,0.9664,0.7807,0.7807,0.7807,0.8064,0.6215,0.9502,0.8526,0.8874,0.3283,0.5388,4.9852,0.8067,0.5139,0.8495,0.7022,0.4599,2.5255,0.8755,0.0,0.8679,0.8679,0.5304,9.1593,0.8519,1.0,1.0,0.0,1.0,1.0,4.0,0.8,0.67,7.85,0.61,28.84,39.49,97.48,39.46,59.57,0.0,0.0,100.0,83.39,14.33,100.0,100.0,0.0,93.33,66.1,48.9713,12.8,14.0,24.4,44.3692,4.8,17.6,15.9,28.1,15.5,1.1,0.0,3.6,35.4,12.9,6.6,16.0,13.9,0.695,0.9511,0.471,0.8009,0.7146
36,1,401,1400000US36001000401,36001000401,4.01,Albany,NY,New York,"Census Tract 4.01, Albany County, New York",2362.0,233.0,9449.0,1.2418,0.4914,0.6418,0.2366,0.4572,0.2419,0.5746,0.3082,1.5819,0.3731,0.0,0.422,0.0,0.0,0.0,0.0,0.422,0.2394,0.3864,0.1318,0.1839,0.7021,0.0166,0.5809,0.7666,0.0,1.3475,0.6494,0.4367,0.4367,0.4367,4.4902,0.1584,0.3065,0.3065,0.3065,0.3447,0.1851,0.1726,0.6037,0.7461,0.3861,0.4939,2.9322,0.3725,0.9912,0.0379,0.9003,0.5938,2.5232,0.8744,0.0,0.9755,0.9755,0.6414,6.7374,0.4834,1.0,0.0,1.0,0.0,1.0,3.0,0.6,0.67,7.8,0.46,26.8,0.0,5.93,0.0,0.0,0.0,0.0,99.99,22.89,14.0,53.85,100.0,0.0,38.15,15.7,22.4352,4.2,2.5,14.4,35.5065,5.5,16.3,46.5,7.6,20.7,2.1,0.0,24.2,40.0,9.7,13.7,8.7,12.5,0.8601,0.4859,0.9954,0.6944,0.0226
36,1,403,1400000US36001000403,36001000403,4.03,Albany,NY,New York,"Census Tract 4.03, Albany County, New York",4253.0,494.0,11514.0,1.3784,0.5636,1.3784,0.7737,0.4572,0.2503,0.6743,0.3747,1.7565,0.451,0.9767,0.6916,0.9733,0.7957,0.0,0.0,3.4373,0.9849,0.3853,0.9732,0.3237,1.6822,0.601,0.655,0.7666,0.0,1.4216,0.6932,0.6899,0.6899,0.6899,8.9875,0.9567,0.4713,0.4713,0.4713,0.318,0.4928,0.5953,0.8343,0.6481,0.2141,0.5614,3.664,0.5369,0.6512,0.0617,0.3892,0.6217,1.7238,0.271,0.0,0.5072,0.5072,0.2492,6.3663,0.4217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,7.85,0.55,28.33,43.28,59.67,44.64,14.01,0.0,0.0,100.0,97.03,12.21,73.59,100.0,0.0,81.42,27.3,21.138,9.7,5.6,23.3,31.29,3.5,18.3,18.2,10.9,10.9,2.4,0.0,0.3,25.2,10.2,6.6,10.9,7.9,0.1385,0.6245,0.471,0.154,0.1577
36,1,404,1400000US36001000404,36001000404,4.04,Albany,NY,New York,"Census Tract 4.04, Albany County, New York",5082.0,473.0,15737.0,1.7714,0.738,1.3714,0.7696,0.4572,0.2503,0.7557,0.3451,1.8083,0.4735,0.9582,0.7884,0.9535,0.0,0.0,0.0,2.7001,0.9434,0.4009,0.2393,0.3168,0.957,0.0704,0.772,0.7666,0.0,1.5386,0.7689,0.6707,0.6707,0.6707,7.6747,0.8216,0.6519,0.6519,0.6519,0.9993,0.9211,0.9676,0.0049,0.9996,0.2234,0.0,4.1159,0.6376,0.0046,0.0161,0.0,0.477,0.4977,0.0107,0.8728,0.9974,1.8702,0.9928,7.1357,0.5498,0.0,1.0,0.0,1.0,0.0,2.0,0.4,0.67,7.85,0.64,27.68,16.16,88.28,18.2,0.0,0.0,0.0,99.49,37.33,12.33,99.13,100.0,0.0,77.09999999999998,45.9,100.0,29.1,16.1,0.3,100.0,3.6,0.0,0.3,1.5,0.0,1.2,17.3,99.7,6.0,11.5,0.7,15.9,1.0,0.0001,0.8594,0.0,0.0001,0.7053
36,1,501,1400000US36001000501,36001000501,5.01,Albany,NY,New York,"Census Tract 5.01, Albany County, New York",3523.0,564.0,2028.0,2.0737,0.8436,1.6737,0.917,0.4572,0.2484,0.6937,0.4108,1.8101,0.4743,0.0,0.8577,0.0,0.9575,0.0,0.0,1.8152,0.808,0.3853,0.9958,0.0956,1.4767,0.4215,0.7891,0.7666,0.0,1.5557,0.7805,0.7896,0.7896,0.7896,7.4473,0.7844,0.7777,0.7777,0.7777,0.9125,0.817,0.7175,0.9407,0.8717,0.482,0.8181,5.5595,0.8997,0.192,0.8426,0.3968,0.888,2.3194,0.7569,0.0,0.8135,0.8135,0.4855,9.4701,0.8893,0.0,1.0,0.0,1.0,0.0,2.0,0.4,0.67,7.84,0.57,29.07,0.0,100.0,0.0,87.03,0.0,0.0,100.0,99.51,15.13,100.0,100.0,0.0,94.87,65.5,60.4015,20.5,6.9,32.6,43.1263,6.8,28.2,10.2,27.9,11.0,11.2,0.0,2.4,28.9,12.8,4.9,16.8,11.4,0.3199,0.947,0.1641,0.5831,0.7826
36,1,502,1400000US36001000502,36001000502,5.02,Albany,NY,New York,"Census Tract 5.02, Albany County, New York",3785.0,305.0,5937.0,1.4311,0.5889,1.0311,0.5396,0.4572,0.2484,0.6842,0.3964,1.7862,0.464,0.0,0.7686,0.0,0.7121,0.0,0.0,1.4807,0.6743,0.3853,0.9474,0.0695,1.4022,0.3508,0.5513,0.7666,0.0,1.3179,0.6337,0.7896,0.7896,0.7896,6.7766,0.6553,0.5982,0.5982,0.5982,0.7017,0.1851,0.8338,0.6403,0.7624,0.232,0.5969,3.9522,0.6009,0.019,0.0433,0.0555,0.4203,0.5381,0.0122,0.0,0.99,0.99,0.659,6.0785,0.3758,0.0,1.0,0.0,1.0,0.0,2.0,0.4,0.67,7.84,0.56,28.78,0.0,82.75,0.0,3.75,0.0,0.0,100.0,95.12,15.58,46.77,100.0,0.0,94.87,39.3,41.229,4.2,8.9,15.5,36.3057,3.7,19.4,3.8,8.5,5.5,0.9,0.0,50.0,14.2,11.9,2.6,16.3,4.0,0.0075,0.8966,0.0122,0.0107,0.7418
36,1,600,1400000US36001000600,36001000600,6.0,Albany,NY,New York,"Census Tract 6, Albany County, New York",3663.0,475.0,3043.0,2.0515,0.8366,1.6515,0.9075,0.4572,0.2484,0.7307,0.4078,1.8441,0.4888,0.0,0.7852,0.0,0.7933,0.0,0.0,1.5785,0.7135,0.3853,0.8065,0.0231,1.2149,0.196,0.772,0.7666,0.0,1.5386,0.7689,0.7896,0.7896,0.7896,6.9657,0.6946,0.7883,0.7883,0.7883,0.9843,0.8638,0.9713,0.9546,0.9927,0.5295,0.7271,6.0233,0.9614,0.0151,0.6116,0.5009,0.8681,1.9957,0.4899,0.5589,0.8299,1.3888,0.8187,10.1961,0.9569,0.0,1.0,0.0,1.0,0.0,2.0,0.4,0.67,7.84,0.61,29.01,0.0,87.43,0.0,13.5,0.0,0.0,100.0,85.64,16.83,99.13,100.0,0.0,94.87,67.6,75.976,23.6,16.7,34.9,63.1392,7.5,23.9,3.2,23.6,12.4,9.7,1.3,2.7,26.8,13.9,3.2,20.7,10.6,0.2085,0.9772,0.0211,0.4854,0.9558
36,1,700,1400000US36001000700,36001000700,7.0,Albany,NY,New York,"Census Tract 7, Albany County, New York",3885.0,606.0,2451.0,2.5222,0.9609,1.7222,0.9359,0.4572,0.2484,0.7557,0.422,1.8833,0.5056,0.0,0.8577,0.0,0.9248,0.0,0.0,1.7825,0.7912,0.3853,0.8943,0.3217,1.6013,0.5347,0.7891,0.7666,0.0,1.5557,0.7805,0.7896,0.7896,0.7896,7.6124,0.8117,0.9071,0.9071,0.9071,0.8925,0.8024,0.9769,0.8979,0.9487,0.4549,0.7219,5.6952,0.9195,0.2887,0.8091,0.9305,0.477,2.5053,0.866,0.0,0.5527,0.5527,0.2891,9.6603,0.9105,1.0,1.0,0.0,1.0,1.0,4.0,0.8,0.67,7.84,0.64,29.3,0.0,100.0,0.0,65.03,0.0,0.0,100.0,91.61000000000001,12.25,100.0,100.0,0.0,94.87,89.5,57.753,19.7,17.8,27.8,50.9764,6.4,23.7,12.1,27.1,22.2,1.2,0.0,0.4,38.5,15.2,4.9,18.3,16.3,0.8184,0.9923,0.1641,0.9067,0.8751
